Time,U_y,U_b
-1.420000e-03,-2.262667e+00,-5.248000e-01
-1.415000e-03,-2.276667e+00,-5.128000e-01
-1.410000e-03,-2.278933e+00,-5.190667e-01
-1.405000e-03,-2.287600e+00,-5.242667e-01
-1.400000e-03,-2.285867e+00,-5.134667e-01
-1.395000e-03,-2.270267e+00,-5.150667e-01
-1.390000e-03,-2.276667e+00,-5.272000e-01
-1.385000e-03,-2.283067e+00,-5.110667e-01
-1.380000e-03,-2.274267e+00,-5.272000e-01
-1.375000e-03,-2.280133e+00,-5.197333e-01
-1.370000e-03,-2.275467e+00,-5.190667e-01
-1.365000e-03,-2.284133e+00,-5.288000e-01
-1.360000e-03,-2.278933e+00,-5.225334e-01
-1.355000e-03,-2.288800e+00,-5.230667e-01
-1.350000e-03,-2.280133e+00,-5.168000e-01
-1.345000e-03,-2.285867e+00,-5.300000e-01
-1.340000e-03,-2.285867e+00,-5.294667e-01
-1.335000e-03,-2.285867e+00,-5.282667e-01
-1.330000e-03,-2.284800e+00,-5.305333e-01
-1.325000e-03,-2.281333e+00,-5.242667e-01
-1.320000e-03,-2.281333e+00,-5.248000e-01
-1.315000e-03,-2.280667e+00,-5.168000e-01
-1.310000e-03,-2.274267e+00,-5.145333e-01
-1.305000e-03,-2.278933e+00,-5.225334e-01
-1.300000e-03,-2.285867e+00,-5.225334e-01
-1.295000e-03,-2.277733e+00,-5.174667e-01
-1.290000e-03,-2.282400e+00,-5.305333e-01
-1.285000e-03,-2.272533e+00,-5.202667e-01
-1.280000e-03,-2.278933e+00,-5.225334e-01
-1.275000e-03,-2.282400e+00,-5.110667e-01
-1.270000e-03,-2.288267e+00,-5.134667e-01
-1.265000e-03,-2.292933e+00,-5.168000e-01
-1.260000e-03,-2.285867e+00,-5.248000e-01
-1.255000e-03,-2.276000e+00,-5.140000e-01
-1.250000e-03,-2.269600e+00,-5.248000e-01
-1.245000e-03,-2.277733e+00,-5.220000e-01
-1.240000e-03,-2.281333e+00,-5.134667e-01
-1.235000e-03,-2.278933e+00,-5.140000e-01
-1.230000e-03,-2.283600e+00,-5.157334e-01
-1.225000e-03,-2.276667e+00,-5.202667e-01
-1.220000e-03,-2.281333e+00,-5.202667e-01
-1.215000e-03,-2.285333e+00,-5.197333e-01
-1.210000e-03,-2.276667e+00,-5.294667e-01
-1.205000e-03,-2.277200e+00,-5.145333e-01
-1.200000e-03,-2.281333e+00,-5.157334e-01
-1.195000e-03,-2.280667e+00,-5.282667e-01
-1.190000e-03,-2.284800e+00,-5.225334e-01
-1.185000e-03,-2.280667e+00,-5.174667e-01
-1.180000e-03,-2.281333e+00,-5.157334e-01
-1.175000e-03,-2.281867e+00,-5.242667e-01
-1.170000e-03,-2.276667e+00,-5.134667e-01
-1.165000e-03,-2.278933e+00,-5.128000e-01
-1.160000e-03,-2.272000e+00,-5.294667e-01
-1.155000e-03,-2.270800e+00,-5.225334e-01
-1.150000e-03,-2.270800e+00,-5.237333e-01
-1.145000e-03,-2.288267e+00,-5.190667e-01
-1.140000e-03,-2.281333e+00,-5.088000e-01
-1.135000e-03,-2.282400e+00,-5.197333e-01
-1.130000e-03,-2.288267e+00,-5.237333e-01
-1.125000e-03,-2.277200e+00,-5.305333e-01
-1.120000e-03,-2.283600e+00,-5.110667e-01
-1.115000e-03,-2.277200e+00,-5.180000e-01
-1.110000e-03,-2.285867e+00,-5.248000e-01
-1.105000e-03,-2.280667e+00,-5.134667e-01
-1.100000e-03,-2.285867e+00,-5.294667e-01
-1.095000e-03,-2.278400e+00,-5.168000e-01
-1.090000e-03,-2.289333e+00,-5.202667e-01
-1.085000e-03,-2.282400e+00,-5.174667e-01
