erro, temperatura atual, integral
2.2, 300.95, 94.23
2.2, 300.95, 94.45
2.2, 300.95, 94.67
2.2, 300.95, 94.9
2.2, 300.95, 95.12
2.2, 300.95, 95.35
2.2, 300.95, 95.57
2.11, 301.04, 95.79
2.11, 301.04, 96.0
2.11, 301.04, 96.22
2.11, 301.04, 96.43
2.11, 301.04, 96.64
2.2, 300.95, 96.86
2.2, 300.95, 97.08
2.11, 301.04, 97.3
2.11, 301.04, 97.52
2.2, 300.95, 97.74
2.11, 301.04, 97.96
2.11, 301.04, 98.17
2.11, 301.04, 98.38
2.11, 301.04, 98.6
2.11, 301.04, 98.81
2.11, 301.04, 99.03
2.11, 301.04, 99.24
2.11, 301.04, 99.46
2.11, 301.04, 99.67
2.11, 301.04, 99.88
2.11, 301.04, 100.1
2.11, 301.04, 100.31
2.11, 301.04, 100.52
2.11, 301.04, 100.74
2.11, 301.04, 100.95
2.11, 301.04, 101.17
2.11, 301.04, 101.38
2.11, 301.04, 101.6
2.11, 301.04, 101.81
2.11, 301.04, 102.03
2.02, 301.13, 102.23
2.02, 301.13, 102.44
2.11, 301.04, 102.65
2.02, 301.13, 102.86
2.02, 301.13, 103.07
2.11, 301.04, 103.28
2.11, 301.04, 103.49
2.02, 301.13, 103.7
2.11, 301.04, 103.91
2.11, 301.04, 104.12
2.02, 301.13, 104.33
2.02, 301.13, 104.54
2.02, 301.13, 104.74
2.02, 301.13, 104.94
2.11, 301.04, 105.16
2.02, 301.13, 105.36
2.02, 301.13, 105.57
2.11, 301.04, 105.78
2.02, 301.13, 105.99
2.02, 301.13, 106.2
2.02, 301.13, 106.4
2.02, 301.13, 106.6
2.02, 301.13, 106.81
2.02, 301.13, 107.02
2.02, 301.13, 107.22
2.02, 301.13, 107.43
2.02, 301.13, 107.63
2.02, 301.13, 107.84
2.02, 301.13, 108.04
2.02, 301.13, 108.24
2.02, 301.13, 108.45
2.02, 301.13, 108.65
1.93, 301.22, 108.85
1.93, 301.22, 109.05
1.93, 301.22, 109.25
1.93, 301.22, 109.44
1.93, 301.22, 109.64
2.02, 301.13, 109.84
1.93, 301.22, 110.04
1.93, 301.22, 110.24
1.93, 301.22, 110.43
1.93, 301.22, 110.63
1.93, 301.22, 110.82
1.93, 301.22, 111.02
1.93, 301.22, 111.22
1.93, 301.22, 111.41
1.93, 301.22, 111.61
1.93, 301.22, 111.8
1.93, 301.22, 112.0
1.93, 301.22, 112.19
1.93, 301.22, 112.39
1.93, 301.22, 112.59
1.84, 301.31, 112.78
1.93, 301.22, 112.97
1.93, 301.22, 113.17
1.93, 301.22, 113.36
1.93, 301.22, 113.56
1.93, 301.22, 113.75
1.93, 301.22, 113.95
1.84, 301.31, 114.14
1.93, 301.22, 114.33
1.84, 301.31, 114.52
1.84, 301.31, 114.71
1.84, 301.31, 114.9
1.84, 301.31, 115.08
1.84, 301.31, 115.27
1.84, 301.31, 115.45
1.84, 301.31, 115.64
1.93, 301.22, 115.83
1.84, 301.31, 116.02
1.84, 301.31, 116.21
1.84, 301.31, 116.4
1.84, 301.31, 116.59
1.84, 301.31, 116.77
1.84, 301.31, 116.96
1.84, 301.31, 117.15
1.84, 301.31, 117.33
1.84, 301.31, 117.52
1.84, 301.31, 117.7
1.84, 301.31, 117.89
1.84, 301.31, 118.08
1.84, 301.31, 118.26
1.75, 301.4, 118.45
1.84, 301.31, 118.63
1.75, 301.4, 118.81
1.84, 301.31, 118.99
1.84, 301.31, 119.18
1.84, 301.31, 119.37
1.75, 301.4, 119.55
1.84, 301.31, 119.73
1.84, 301.31, 119.92
1.75, 301.4, 120.1
1.75, 301.4, 120.28
1.75, 301.4, 120.46
1.75, 301.4, 120.63
1.75, 301.4, 120.81
1.75, 301.4, 120.99
1.75, 301.4, 121.17
1.75, 301.4, 121.34
1.75, 301.4, 121.52
1.75, 301.4, 121.7
1.75, 301.4, 121.88
1.75, 301.4, 122.06
1.75, 301.4, 122.23
1.75, 301.4, 122.41
1.75, 301.4, 122.59
1.75, 301.4, 122.77
1.75, 301.4, 122.94
1.75, 301.4, 123.12
1.75, 301.4, 123.3
1.75, 301.4, 123.47
1.66, 301.49, 123.65
1.66, 301.49, 123.82
1.75, 301.4, 123.99
1.66, 301.49, 124.16
1.75, 301.4, 124.34
1.75, 301.4, 124.51
1.75, 301.4, 124.69
1.66, 301.49, 124.87
1.75, 301.4, 125.04
1.66, 301.49, 125.21
1.66, 301.49, 125.38
1.66, 301.49, 125.55
1.66, 301.49, 125.71
1.66, 301.49, 125.88
1.66, 301.49, 126.05
1.66, 301.49, 126.22
1.66, 301.49, 126.39
1.66, 301.49, 126.55
1.66, 301.49, 126.72
1.66, 301.49, 126.89
1.66, 301.49, 127.06
1.66, 301.49, 127.23
1.66, 301.49, 127.4
1.66, 301.49, 127.57
1.66, 301.49, 127.73
1.66, 301.49, 127.9
1.66, 301.49, 128.07
1.66, 301.49, 128.24
1.57, 301.58, 128.4
1.57, 301.58, 128.56
1.57, 301.58, 128.72
1.57, 301.58, 128.88
1.57, 301.58, 129.04
1.57, 301.58, 129.2
1.57, 301.58, 129.36
1.57, 301.58, 129.52
1.57, 301.58, 129.68
1.57, 301.58, 129.83
1.57, 301.58, 129.99
1.57, 301.58, 130.15
1.57, 301.58, 130.31
1.57, 301.58, 130.47
1.57, 301.58, 130.63
1.57, 301.58, 130.79
1.48, 301.67, 130.94
1.57, 301.58, 131.1
1.57, 301.58, 131.26
1.57, 301.58, 131.42
1.48, 301.67, 131.57
1.48, 301.67, 131.72
1.48, 301.67, 131.87
1.48, 301.67, 132.02
1.48, 301.67, 132.17
1.48, 301.67, 132.32
1.48, 301.67, 132.47
1.48, 301.67, 132.62
1.48, 301.67, 132.77
1.48, 301.67, 132.92
1.48, 301.67, 133.07
1.48, 301.67, 133.22
1.48, 301.67, 133.37
1.48, 301.67, 133.52
1.48, 301.67, 133.67
1.48, 301.67, 133.82
1.48, 301.67, 133.97
1.48, 301.67, 134.12
1.48, 301.67, 134.27
1.39, 301.76, 134.42
1.48, 301.67, 134.56
1.48, 301.67, 134.71
1.48, 301.67, 134.86
1.48, 301.67, 135.01
1.39, 301.76, 135.15
1.48, 301.67, 135.3
1.48, 301.67, 135.45
1.48, 301.67, 135.6
1.48, 301.67, 135.75
1.48, 301.67, 135.9
1.39, 301.76, 136.04
1.39, 301.76, 136.18
1.39, 301.76, 136.33
1.39, 301.76, 136.47
1.39, 301.76, 136.61
1.39, 301.76, 136.75
1.39, 301.76, 136.89
1.39, 301.76, 137.03
1.39, 301.76, 137.17
1.39, 301.76, 137.31
1.39, 301.76, 137.45
1.39, 301.76, 137.59
1.29, 301.86, 137.73
1.39, 301.76, 137.87
1.39, 301.76, 138.01
1.39, 301.76, 138.15
1.39, 301.76, 138.29
1.39, 301.76, 138.43
1.39, 301.76, 138.57
1.39, 301.76, 138.71
1.29, 301.86, 138.84
1.29, 301.86, 138.97
1.29, 301.86, 139.11
1.29, 301.86, 139.24
1.29, 301.86, 139.37
1.29, 301.86, 139.5
1.29, 301.86, 139.63
1.29, 301.86, 139.76
1.29, 301.86, 139.9
1.29, 301.86, 140.03
1.29, 301.86, 140.16
1.29, 301.86, 140.29
1.29, 301.86, 140.42
1.29, 301.86, 140.55
1.29, 301.86, 140.68
