erro, temperatura atual, integral
5.59, 317.56, 316.1
5.7, 317.45, 316.67
5.59, 317.56, 317.25
5.59, 317.56, 317.81
5.7, 317.45, 318.39
5.7, 317.45, 318.96
5.7, 317.45, 319.55
5.7, 317.45, 320.12
5.7, 317.45, 320.7
5.7, 317.45, 321.28
5.59, 317.56, 321.86
5.7, 317.45, 322.43
5.7, 317.45, 323.01
5.7, 317.45, 323.58
5.7, 317.45, 324.17
5.7, 317.45, 324.75
5.7, 317.45, 325.32
5.7, 317.45, 325.91
5.7, 317.45, 326.49
5.7, 317.45, 327.07
5.7, 317.45, 327.65
5.7, 317.45, 328.22
5.7, 317.45, 328.8
5.7, 317.45, 329.38
5.7, 317.45, 329.96
5.7, 317.45, 330.54
5.7, 317.45, 331.12
5.7, 317.45, 331.7
5.59, 317.56, 332.27
5.7, 317.45, 332.84
5.59, 317.56, 333.42
5.7, 317.45, 333.99
5.7, 317.45, 334.58
5.7, 317.45, 335.15
5.59, 317.56, 335.73
5.7, 317.45, 336.3
5.7, 317.45, 336.89
5.7, 317.45, 337.46
5.7, 317.45, 338.04
5.7, 317.45, 338.63
5.7, 317.45, 339.21
5.7, 317.45, 339.78
5.7, 317.45, 340.36
5.7, 317.45, 340.94
5.7, 317.45, 341.52
5.7, 317.45, 342.1
5.7, 317.45, 342.68
5.7, 317.45, 343.26
5.7, 317.45, 343.84
5.59, 317.56, 344.41
5.7, 317.45, 344.98
5.59, 317.56, 345.56
5.7, 317.45, 346.13
5.59, 317.56, 346.71
5.59, 317.56, 347.27
5.59, 317.56, 347.84
5.59, 317.56, 348.41
5.59, 317.56, 348.97
5.59, 317.56, 349.54
5.59, 317.56, 350.1
5.59, 317.56, 350.67
5.59, 317.56, 351.24
5.59, 317.56, 351.81
5.59, 317.56, 352.38
5.59, 317.56, 352.95
5.59, 317.56, 353.51
5.59, 317.56, 354.08
5.59, 317.56, 354.65
5.59, 317.56, 355.22
5.59, 317.56, 355.79
5.59, 317.56, 356.35
5.59, 317.56, 356.93
5.59, 317.56, 357.49
5.59, 317.56, 358.06
5.59, 317.56, 358.63
5.59, 317.56, 359.19
5.59, 317.56, 359.76
5.59, 317.56, 360.33
5.59, 317.56, 360.89
5.59, 317.56, 361.47
5.59, 317.56, 362.03
5.59, 317.56, 362.6
5.59, 317.56, 363.17
5.59, 317.56, 363.73
5.59, 317.56, 364.3
5.59, 317.56, 364.87
5.59, 317.56, 365.43
5.59, 317.56, 366.01
5.59, 317.56, 366.57
5.59, 317.56, 367.14
5.59, 317.56, 367.71
5.59, 317.56, 368.28
5.59, 317.56, 368.85
5.59, 317.56, 369.41
5.59, 317.56, 369.97
5.59, 317.56, 370.55
5.59, 317.56, 371.11
5.59, 317.56, 371.68
5.59, 317.56, 372.25
5.59, 317.56, 372.82
5.59, 317.56, 373.39
5.59, 317.56, 373.95
5.59, 317.56, 374.52
5.59, 317.56, 375.09
5.59, 317.56, 375.66
5.59, 317.56, 376.23
5.59, 317.56, 376.8
5.59, 317.56, 377.36
5.59, 317.56, 377.93
5.59, 317.56, 378.49
5.59, 317.56, 379.06
5.59, 317.56, 379.63
5.59, 317.56, 380.19
5.59, 317.56, 380.76
5.59, 317.56, 381.33
5.59, 317.56, 381.9
5.59, 317.56, 382.47
5.59, 317.56, 383.04
5.59, 317.56, 383.61
5.59, 317.56, 384.17
5.59, 317.56, 384.74
5.47, 317.68, 385.3
5.47, 317.68, 385.86
5.47, 317.68, 386.42
5.47, 317.68, 386.97
5.47, 317.68, 387.53
5.47, 317.68, 388.08
5.47, 317.68, 388.64
5.59, 317.56, 389.19
5.47, 317.68, 389.76
5.47, 317.68, 390.32
5.47, 317.68, 390.87
5.47, 317.68, 391.43
5.47, 317.68, 391.99
5.47, 317.68, 392.54
5.47, 317.68, 393.1
5.47, 317.68, 393.65
5.47, 317.68, 394.21
5.47, 317.68, 394.76
5.47, 317.68, 395.32
5.47, 317.68, 395.87
5.47, 317.68, 396.43
5.47, 317.68, 396.99
5.47, 317.68, 397.54
5.47, 317.68, 398.11
5.47, 317.68, 398.66
5.47, 317.68, 399.21
5.47, 317.68, 399.77
5.47, 317.68, 400.32
5.47, 317.68, 400.89
5.47, 317.68, 401.44
5.47, 317.68, 401.99
5.47, 317.68, 402.55
5.47, 317.68, 403.11
5.35, 317.8, 403.65
5.35, 317.8, 404.19
5.35, 317.8, 404.73
5.35, 317.8, 405.29
5.35, 317.8, 405.83
5.35, 317.8, 406.37
5.35, 317.8, 406.92
5.35, 317.8, 407.46
5.35, 317.8, 408.0
5.47, 317.68, 408.55
5.35, 317.8, 409.1
5.35, 317.8, 409.65
5.35, 317.8, 410.19
5.35, 317.8, 410.73
5.35, 317.8, 411.28
5.35, 317.8, 411.82
5.35, 317.8, 412.37
5.35, 317.8, 412.91
5.35, 317.8, 413.45
5.35, 317.8, 414.0
5.35, 317.8, 414.54
5.35, 317.8, 415.09
5.35, 317.8, 415.63
5.35, 317.8, 416.17
5.23, 317.92, 416.71
5.35, 317.8, 417.25
5.35, 317.8, 417.79
5.35, 317.8, 418.34
5.35, 317.8, 418.88
5.35, 317.8, 419.43
5.35, 317.8, 419.97
5.23, 317.92, 420.51
5.23, 317.92, 421.04
5.35, 317.8, 421.58
5.35, 317.8, 422.13
5.35, 317.8, 422.67
5.35, 317.8, 423.21
5.23, 317.92, 423.75
5.35, 317.8, 424.29
5.35, 317.8, 424.83
5.23, 317.92, 425.37
5.23, 317.92, 425.9
5.23, 317.92, 426.43
5.35, 317.8, 426.97
5.35, 317.8, 427.51
5.35, 317.8, 428.05
5.35, 317.8, 428.6
5.35, 317.8, 429.14
5.35, 317.8, 429.69
5.35, 317.8, 430.23
5.35, 317.8, 430.78
5.35, 317.8, 431.32
5.35, 317.8, 431.86
5.35, 317.8, 432.4
5.35, 317.8, 432.95
5.35, 317.8, 433.5
5.35, 317.8, 434.04
5.35, 317.8, 434.58
5.35, 317.8, 435.13
5.35, 317.8, 435.67
5.35, 317.8, 436.22
5.35, 317.8, 436.76
5.35, 317.8, 437.3
5.35, 317.8, 437.84
5.35, 317.8, 438.38
5.23, 317.92, 438.93
5.23, 317.92, 439.46
5.35, 317.8, 439.99
5.23, 317.92, 440.53
5.23, 317.92, 441.06
5.23, 317.92, 441.59
5.35, 317.8, 442.13
5.35, 317.8, 442.67
5.23, 317.92, 443.22
5.35, 317.8, 443.75
5.23, 317.92, 444.28
5.23, 317.92, 444.82
5.23, 317.92, 445.35
5.23, 317.92, 445.89
5.35, 317.8, 446.42
5.23, 317.92, 446.96
5.23, 317.92, 447.49
5.35, 317.8, 448.02
5.23, 317.92, 448.56
5.23, 317.92, 449.09
5.23, 317.92, 449.62
5.23, 317.92, 450.16
5.23, 317.92, 450.69
5.23, 317.92, 451.22
5.23, 317.92, 451.75
5.23, 317.92, 452.28
5.23, 317.92, 452.81
5.23, 317.92, 453.34
5.23, 317.92, 453.87
5.23, 317.92, 454.41
5.23, 317.92, 454.94
5.23, 317.92, 455.47
5.23, 317.92, 456.01
5.23, 317.92, 456.54
5.23, 317.92, 457.07
5.23, 317.92, 457.6
5.23, 317.92, 458.13
5.23, 317.92, 458.67
5.23, 317.92, 459.2
5.23, 317.92, 459.73
5.23, 317.92, 460.26
5.23, 317.92, 460.79
5.23, 317.92, 461.33
5.23, 317.92, 461.86
5.23, 317.92, 462.38
5.23, 317.92, 462.92
5.23, 317.92, 463.45
5.23, 317.92, 463.98
5.23, 317.92, 464.51
5.23, 317.92, 465.04
5.23, 317.92, 465.58
5.23, 317.92, 466.11
5.23, 317.92, 466.64
5.23, 317.92, 467.17
5.23, 317.92, 467.7
5.23, 317.92, 468.24
5.23, 317.92, 468.77
5.23, 317.92, 469.3
5.23, 317.92, 469.83
5.23, 317.92, 470.37
5.23, 317.92, 470.9
5.23, 317.92, 471.43
5.23, 317.92, 471.96
5.23, 317.92, 472.49
5.23, 317.92, 473.02
5.23, 317.92, 473.55
5.23, 317.92, 474.08
5.23, 317.92, 474.62
5.23, 317.92, 475.15
5.23, 317.92, 475.68
5.23, 317.92, 476.21
5.23, 317.92, 476.75
5.23, 317.92, 477.28
5.23, 317.92, 477.81
5.23, 317.92, 478.34
5.23, 317.92, 478.87
5.23, 317.92, 479.4
5.23, 317.92, 479.93
5.23, 317.92, 480.47
5.23, 317.92, 481.0
5.23, 317.92, 481.53
5.23, 317.92, 482.07
5.23, 317.92, 482.6
5.23, 317.92, 483.12
5.23, 317.92, 483.66
5.23, 317.92, 484.19
5.23, 317.92, 484.73
5.23, 317.92, 485.25
5.23, 317.92, 485.78
5.23, 317.92, 486.32
5.23, 317.92, 486.85
5.23, 317.92, 487.39
5.23, 317.92, 487.91
5.23, 317.92, 488.44
5.23, 317.92, 488.98
5.23, 317.92, 489.51
5.23, 317.92, 490.04
5.23, 317.92, 490.58
5.23, 317.92, 491.11
5.23, 317.92, 491.64
5.23, 317.92, 492.17
5.23, 317.92, 492.7
5.23, 317.92, 493.24
5.23, 317.92, 493.77
5.23, 317.92, 494.3
5.23, 317.92, 494.83
5.23, 317.92, 495.36
5.23, 317.92, 495.9
5.23, 317.92, 496.43
5.23, 317.92, 496.96
5.23, 317.92, 497.49
5.12, 318.03, 498.02
5.12, 318.03, 498.54
5.12, 318.03, 499.05
5.12, 318.03, 499.57
5.12, 318.03, 500.09
5.12, 318.03, 500.62
5.12, 318.03, 501.14
5.12, 318.03, 501.65
5.12, 318.03, 502.18
5.12, 318.03, 502.7
5.12, 318.03, 503.21
5.12, 318.03, 503.74
5.12, 318.03, 504.26
5.12, 318.03, 504.78
5.12, 318.03, 505.3
5.12, 318.03, 505.81
5.12, 318.03, 506.33
5.12, 318.03, 506.85
5.12, 318.03, 507.37
5.12, 318.03, 507.9
5.12, 318.03, 508.41
5.12, 318.03, 508.93
5.12, 318.03, 509.46
5.12, 318.03, 509.97
5.12, 318.03, 510.49
5.12, 318.03, 511.01
5.12, 318.03, 511.53
5.12, 318.03, 512.05
5.12, 318.03, 512.57
5.12, 318.03, 513.08
5.12, 318.03, 513.61
5.12, 318.03, 514.13
5.12, 318.03, 514.65
5.12, 318.03, 515.17
5.12, 318.03, 515.69
5.12, 318.03, 516.21
5.12, 318.03, 516.73
5.12, 318.03, 517.25
5.12, 318.03, 517.77
5.12, 318.03, 518.29
5.12, 318.03, 518.81
5.12, 318.03, 519.33
5.12, 318.03, 519.85
5.12, 318.03, 520.37
5.12, 318.03, 520.89
5.12, 318.03, 521.41
5.12, 318.03, 521.93
5.12, 318.03, 522.45
5.12, 318.03, 522.98
5.0, 318.15, 523.49
5.0, 318.15, 523.99
5.0, 318.15, 524.5
5.12, 318.03, 525.01
5.0, 318.15, 525.53
5.0, 318.15, 526.03
5.0, 318.15, 526.54
5.0, 318.15, 527.05
5.0, 318.15, 527.56
5.0, 318.15, 528.07
5.0, 318.15, 528.57
5.0, 318.15, 529.08
5.0, 318.15, 529.59
5.0, 318.15, 530.09
5.0, 318.15, 530.6
5.0, 318.15, 531.11
5.0, 318.15, 531.61
5.0, 318.15, 532.12
5.0, 318.15, 532.63
5.0, 318.15, 533.13
5.0, 318.15, 533.65
5.0, 318.15, 534.15
5.0, 318.15, 534.66
5.0, 318.15, 535.17
5.0, 318.15, 535.67
5.0, 318.15, 536.18
5.0, 318.15, 536.69
5.0, 318.15, 537.19
5.0, 318.15, 537.7
5.0, 318.15, 538.21
5.0, 318.15, 538.72
5.0, 318.15, 539.23
5.0, 318.15, 539.73
5.0, 318.15, 540.24
5.0, 318.15, 540.75
5.0, 318.15, 541.26
5.0, 318.15, 541.77
5.0, 318.15, 542.27
5.0, 318.15, 542.78
5.0, 318.15, 543.29
5.0, 318.15, 543.79
5.0, 318.15, 544.3
5.0, 318.15, 544.81
5.0, 318.15, 545.32
5.0, 318.15, 545.83
5.0, 318.15, 546.34
5.0, 318.15, 546.84
5.0, 318.15, 547.35
5.0, 318.15, 547.86
5.0, 318.15, 548.37
5.0, 318.15, 548.87
5.0, 318.15, 549.38
5.0, 318.15, 549.89
5.0, 318.15, 550.39
5.0, 318.15, 550.9
5.0, 318.15, 551.41
5.0, 318.15, 551.92
5.0, 318.15, 552.43
5.0, 318.15, 552.93
5.0, 318.15, 553.45
5.0, 318.15, 553.95
5.0, 318.15, 554.46
5.0, 318.15, 554.97
5.0, 318.15, 555.48
5.0, 318.15, 555.99
5.0, 318.15, 556.49
5.0, 318.15, 557.0
5.0, 318.15, 557.51
5.0, 318.15, 558.01
5.0, 318.15, 558.52
5.0, 318.15, 559.03
5.0, 318.15, 559.54
5.0, 318.15, 560.05
5.0, 318.15, 560.56
5.0, 318.15, 561.06
5.0, 318.15, 561.57
5.0, 318.15, 562.08
5.0, 318.15, 562.59
5.0, 318.15, 563.09
5.0, 318.15, 563.6
5.0, 318.15, 564.11
5.0, 318.15, 564.61
5.0, 318.15, 565.12
5.0, 318.15, 565.63
5.0, 318.15, 566.13
5.0, 318.15, 566.64
5.0, 318.15, 567.15
5.0, 318.15, 567.66
5.0, 318.15, 568.17
5.0, 318.15, 568.67
5.0, 318.15, 569.19
5.0, 318.15, 569.69
5.0, 318.15, 570.2
5.0, 318.15, 570.71
5.0, 318.15, 571.22
5.0, 318.15, 571.73
5.0, 318.15, 572.23
5.0, 318.15, 572.74
5.0, 318.15, 573.25
5.0, 318.15, 573.75
5.0, 318.15, 574.26
5.0, 318.15, 574.77
5.0, 318.15, 575.28
5.0, 318.15, 575.78
