erro, temperatura atual, integral
2.25, 298.9, 125.61
2.25, 298.9, 125.84
2.25, 298.9, 126.07
2.25, 298.9, 126.3
2.25, 298.9, 126.53
2.25, 298.9, 126.75
2.25, 298.9, 126.98
2.25, 298.9, 127.21
2.16, 298.99, 127.43
2.16, 298.99, 127.66
2.25, 298.9, 127.88
2.25, 298.9, 128.11
2.25, 298.9, 128.34
2.25, 298.9, 128.56
2.25, 298.9, 128.79
2.25, 298.9, 129.02
2.25, 298.9, 129.25
2.16, 298.99, 129.47
2.16, 298.99, 129.69
2.16, 298.99, 129.91
2.16, 298.99, 130.13
2.16, 298.99, 130.35
2.16, 298.99, 130.57
2.25, 298.9, 130.79
2.25, 298.9, 131.02
2.16, 298.99, 131.25
2.16, 298.99, 131.47
2.16, 298.99, 131.69
2.16, 298.99, 131.91
2.16, 298.99, 132.12
2.16, 298.99, 132.34
2.16, 298.99, 132.56
2.16, 298.99, 132.78
2.16, 298.99, 133.0
2.16, 298.99, 133.22
2.16, 298.99, 133.44
2.16, 298.99, 133.66
2.16, 298.99, 133.88
2.16, 298.99, 134.1
2.16, 298.99, 134.32
2.16, 298.99, 134.54
2.16, 298.99, 134.76
2.16, 298.99, 134.97
2.16, 298.99, 135.19
2.16, 298.99, 135.41
2.16, 298.99, 135.63
2.16, 298.99, 135.85
2.16, 298.99, 136.07
2.16, 298.99, 136.29
2.16, 298.99, 136.51
2.16, 298.99, 136.73
2.16, 298.99, 136.95
2.16, 298.99, 137.17
2.16, 298.99, 137.39
2.16, 298.99, 137.61
2.16, 298.99, 137.83
2.16, 298.99, 138.05
2.16, 298.99, 138.27
2.07, 299.08, 138.48
2.07, 299.08, 138.69
2.16, 298.99, 138.9
2.16, 298.99, 139.13
2.07, 299.08, 139.34
2.07, 299.08, 139.55
2.16, 298.99, 139.77
2.07, 299.08, 139.98
2.07, 299.08, 140.19
2.07, 299.08, 140.4
2.07, 299.08, 140.61
2.07, 299.08, 140.82
2.07, 299.08, 141.03
2.07, 299.08, 141.25
2.07, 299.08, 141.45
2.07, 299.08, 141.66
2.16, 298.99, 141.88
2.07, 299.08, 142.1
2.07, 299.08, 142.31
2.07, 299.08, 142.52
2.07, 299.08, 142.73
2.07, 299.08, 142.94
2.07, 299.08, 143.15
2.07, 299.08, 143.36
2.07, 299.08, 143.57
2.07, 299.08, 143.78
2.07, 299.08, 143.99
2.07, 299.08, 144.2
2.07, 299.08, 144.41
2.07, 299.08, 144.62
1.98, 299.17, 144.83
1.98, 299.17, 145.03
2.07, 299.08, 145.23
2.07, 299.08, 145.44
2.07, 299.08, 145.66
2.07, 299.08, 145.87
2.07, 299.08, 146.07
2.07, 299.08, 146.29
2.07, 299.08, 146.5
1.98, 299.17, 146.7
1.98, 299.17, 146.9
1.98, 299.17, 147.11
2.07, 299.08, 147.31
2.07, 299.08, 147.52
2.07, 299.08, 147.73
2.07, 299.08, 147.94
2.07, 299.08, 148.15
2.07, 299.08, 148.36
1.98, 299.17, 148.57
1.98, 299.17, 148.77
1.98, 299.17, 148.97
1.98, 299.17, 149.17
1.98, 299.17, 149.37
1.98, 299.17, 149.58
1.98, 299.17, 149.78
1.98, 299.17, 149.98
2.07, 299.08, 150.19
2.07, 299.08, 150.4
1.98, 299.17, 150.6
1.98, 299.17, 150.8
1.98, 299.17, 151.01
1.9, 299.25, 151.2
1.98, 299.17, 151.4
1.98, 299.17, 151.6
1.98, 299.17, 151.8
1.98, 299.17, 152.0
1.98, 299.17, 152.2
1.98, 299.17, 152.41
1.98, 299.17, 152.61
1.98, 299.17, 152.81
1.98, 299.17, 153.01
1.98, 299.17, 153.21
1.98, 299.17, 153.41
1.98, 299.17, 153.62
1.98, 299.17, 153.82
1.98, 299.17, 154.02
1.98, 299.17, 154.22
1.98, 299.17, 154.42
1.98, 299.17, 154.62
1.98, 299.17, 154.82
1.98, 299.17, 155.02
1.98, 299.17, 155.23
1.98, 299.17, 155.43
1.98, 299.17, 155.63
1.98, 299.17, 155.83
1.98, 299.17, 156.03
1.9, 299.25, 156.23
1.98, 299.17, 156.43
1.98, 299.17, 156.63
1.98, 299.17, 156.83
1.98, 299.17, 157.03
1.9, 299.25, 157.23
1.9, 299.25, 157.42
1.98, 299.17, 157.62
1.98, 299.17, 157.82
1.98, 299.17, 158.02
1.98, 299.17, 158.22
1.9, 299.25, 158.42
1.98, 299.17, 158.61
1.98, 299.17, 158.81
1.9, 299.25, 159.01
1.9, 299.25, 159.2
1.9, 299.25, 159.4
1.9, 299.25, 159.59
1.9, 299.25, 159.78
1.98, 299.17, 159.98
1.9, 299.25, 160.18
1.98, 299.17, 160.37
1.9, 299.25, 160.57
1.9, 299.25, 160.76
1.9, 299.25, 160.96
1.9, 299.25, 161.15
1.9, 299.25, 161.34
1.9, 299.25, 161.53
1.9, 299.25, 161.72
1.9, 299.25, 161.92
1.9, 299.25, 162.11
1.9, 299.25, 162.3
1.9, 299.25, 162.5
1.9, 299.25, 162.69
1.9, 299.25, 162.88
1.9, 299.25, 163.07
1.9, 299.25, 163.26
1.9, 299.25, 163.45
1.9, 299.25, 163.65
1.9, 299.25, 163.84
1.9, 299.25, 164.03
1.9, 299.25, 164.22
1.9, 299.25, 164.42
1.9, 299.25, 164.61
1.9, 299.25, 164.8
1.9, 299.25, 165.0
1.9, 299.25, 165.19
1.9, 299.25, 165.38
1.9, 299.25, 165.57
1.9, 299.25, 165.76
1.9, 299.25, 165.96
1.9, 299.25, 166.15
1.9, 299.25, 166.34
1.81, 299.34, 166.53
1.81, 299.34, 166.71
1.81, 299.34, 166.9
1.81, 299.34, 167.08
1.81, 299.34, 167.26
1.81, 299.34, 167.45
1.81, 299.34, 167.63
1.81, 299.34, 167.81
1.81, 299.34, 168.0
1.81, 299.34, 168.18
1.81, 299.34, 168.37
1.9, 299.25, 168.55
1.81, 299.34, 168.74
1.81, 299.34, 168.92
1.81, 299.34, 169.11
1.81, 299.34, 169.29
1.81, 299.34, 169.47
1.81, 299.34, 169.66
1.81, 299.34, 169.84
1.81, 299.34, 170.02
1.81, 299.34, 170.21
1.81, 299.34, 170.39
1.81, 299.34, 170.57
1.81, 299.34, 170.76
1.81, 299.34, 170.94
1.81, 299.34, 171.12
1.81, 299.34, 171.31
