erro, temperatura atual, integral
1.81, 299.34, 131.08
1.81, 299.34, 131.26
1.9, 299.25, 131.45
1.9, 299.25, 131.64
1.9, 299.25, 131.84
1.9, 299.25, 132.03
1.9, 299.25, 132.22
1.9, 299.25, 132.42
1.9, 299.25, 132.61
1.81, 299.34, 132.79
1.9, 299.25, 132.98
1.81, 299.34, 133.17
1.9, 299.25, 133.36
1.9, 299.25, 133.55
1.9, 299.25, 133.74
1.9, 299.25, 133.94
1.9, 299.25, 134.13
1.9, 299.25, 134.32
1.81, 299.34, 134.51
1.81, 299.34, 134.69
1.81, 299.34, 134.88
1.9, 299.25, 135.06
1.81, 299.34, 135.25
1.9, 299.25, 135.44
1.9, 299.25, 135.63
1.9, 299.25, 135.82
1.81, 299.34, 136.01
1.81, 299.34, 136.19
1.81, 299.34, 136.38
1.81, 299.34, 136.56
1.81, 299.34, 136.75
1.81, 299.34, 136.93
1.81, 299.34, 137.11
1.81, 299.34, 137.3
1.9, 299.25, 137.48
1.81, 299.34, 137.67
1.81, 299.34, 137.85
1.81, 299.34, 138.04
1.81, 299.34, 138.22
1.81, 299.34, 138.41
1.81, 299.34, 138.59
1.81, 299.34, 138.77
1.81, 299.34, 138.95
1.81, 299.34, 139.14
1.9, 299.25, 139.33
1.81, 299.34, 139.51
1.81, 299.34, 139.7
1.81, 299.34, 139.88
1.81, 299.34, 140.06
1.81, 299.34, 140.25
1.81, 299.34, 140.43
1.81, 299.34, 140.62
1.81, 299.34, 140.8
1.81, 299.34, 140.98
1.72, 299.43, 141.16
1.81, 299.34, 141.34
1.81, 299.34, 141.52
1.81, 299.34, 141.71
1.72, 299.43, 141.89
1.72, 299.43, 142.06
1.81, 299.34, 142.24
1.81, 299.34, 142.42
1.81, 299.34, 142.61
1.81, 299.34, 142.79
1.72, 299.43, 142.97
1.81, 299.34, 143.15
1.72, 299.43, 143.33
1.72, 299.43, 143.5
1.72, 299.43, 143.68
1.72, 299.43, 143.85
1.72, 299.43, 144.03
1.72, 299.43, 144.2
1.81, 299.34, 144.38
1.72, 299.43, 144.56
1.72, 299.43, 144.73
1.72, 299.43, 144.91
1.72, 299.43, 145.08
1.72, 299.43, 145.26
1.63, 299.52, 145.43
1.72, 299.43, 145.59
1.72, 299.43, 145.77
1.72, 299.43, 145.94
1.81, 299.34, 146.12
1.72, 299.43, 146.3
1.72, 299.43, 146.48
1.72, 299.43, 146.65
1.63, 299.52, 146.82
1.72, 299.43, 146.99
1.72, 299.43, 147.17
1.72, 299.43, 147.34
1.72, 299.43, 147.52
1.72, 299.43, 147.69
1.72, 299.43, 147.86
1.72, 299.43, 148.04
1.63, 299.52, 148.21
1.72, 299.43, 148.38
1.72, 299.43, 148.55
1.63, 299.52, 148.72
1.81, 299.34, 148.9
1.63, 299.52, 149.07
1.72, 299.43, 149.24
1.63, 299.52, 149.41
1.72, 299.43, 149.58
1.63, 299.52, 149.75
1.72, 299.43, 149.92
1.63, 299.52, 150.09
1.63, 299.52, 150.26
1.63, 299.52, 150.42
1.63, 299.52, 150.59
1.63, 299.52, 150.75
1.63, 299.52, 150.92
1.72, 299.43, 151.09
1.72, 299.43, 151.26
1.63, 299.52, 151.43
1.63, 299.52, 151.6
1.63, 299.52, 151.76
1.63, 299.52, 151.93
1.63, 299.52, 152.09
1.63, 299.52, 152.26
1.63, 299.52, 152.42
1.63, 299.52, 152.59
1.63, 299.52, 152.75
1.72, 299.43, 152.93
1.63, 299.52, 153.09
1.63, 299.52, 153.26
1.63, 299.52, 153.43
1.63, 299.52, 153.59
1.63, 299.52, 153.76
1.63, 299.52, 153.92
1.63, 299.52, 154.08
1.63, 299.52, 154.25
1.63, 299.52, 154.42
1.63, 299.52, 154.58
1.63, 299.52, 154.75
1.63, 299.52, 154.91
1.54, 299.61, 155.07
1.54, 299.61, 155.23
1.54, 299.61, 155.39
1.54, 299.61, 155.54
1.63, 299.52, 155.7
1.63, 299.52, 155.87
1.63, 299.52, 156.03
1.63, 299.52, 156.2
1.63, 299.52, 156.37
1.54, 299.61, 156.53
1.54, 299.61, 156.68
1.54, 299.61, 156.84
1.54, 299.61, 157.0
1.54, 299.61, 157.15
1.63, 299.52, 157.31
1.63, 299.52, 157.48
1.54, 299.61, 157.64
1.54, 299.61, 157.79
1.54, 299.61, 157.95
1.54, 299.61, 158.11
1.54, 299.61, 158.26
1.54, 299.61, 158.42
1.54, 299.61, 158.58
1.54, 299.61, 158.73
1.54, 299.61, 158.89
1.54, 299.61, 159.04
1.54, 299.61, 159.2
1.63, 299.52, 159.36
1.54, 299.61, 159.52
1.45, 299.7, 159.68
1.45, 299.7, 159.82
1.54, 299.61, 159.97
1.54, 299.61, 160.13
1.45, 299.7, 160.28
1.54, 299.61, 160.44
1.54, 299.61, 160.59
1.63, 299.52, 160.75
1.54, 299.61, 160.91
1.54, 299.61, 161.07
1.54, 299.61, 161.23
1.45, 299.7, 161.38
1.45, 299.7, 161.52
1.45, 299.7, 161.67
1.45, 299.7, 161.82
1.54, 299.61, 161.97
1.45, 299.7, 162.12
1.45, 299.7, 162.27
1.54, 299.61, 162.42
1.45, 299.7, 162.57
1.45, 299.7, 162.72
1.54, 299.61, 162.87
1.54, 299.61, 163.03
1.45, 299.7, 163.18
1.45, 299.7, 163.33
1.45, 299.7, 163.48
1.45, 299.7, 163.62
1.54, 299.61, 163.77
1.54, 299.61, 163.93
1.45, 299.7, 164.08
1.45, 299.7, 164.23
1.45, 299.7, 164.38
1.45, 299.7, 164.53
1.45, 299.7, 164.67
1.45, 299.7, 164.82
1.45, 299.7, 164.97
1.45, 299.7, 165.12
1.45, 299.7, 165.26
1.45, 299.7, 165.41
1.45, 299.7, 165.56
1.45, 299.7, 165.7
1.45, 299.7, 165.85
1.45, 299.7, 166.0
1.45, 299.7, 166.15
1.45, 299.7, 166.3
1.45, 299.7, 166.44
1.45, 299.7, 166.59
1.45, 299.7, 166.74
1.45, 299.7, 166.88
1.45, 299.7, 167.03
1.45, 299.7, 167.18
1.45, 299.7, 167.32
1.45, 299.7, 167.47
1.36, 299.79, 167.62
1.45, 299.7, 167.76
1.45, 299.7, 167.91
1.45, 299.7, 168.05
1.45, 299.7, 168.2
1.45, 299.7, 168.35
1.45, 299.7, 168.5
1.36, 299.79, 168.64
1.36, 299.79, 168.78
1.36, 299.79, 168.92
1.36, 299.79, 169.05
1.36, 299.79, 169.19
1.45, 299.7, 169.33
1.45, 299.7, 169.48
1.45, 299.7, 169.63
1.45, 299.7, 169.78
1.36, 299.79, 169.92
1.36, 299.79, 170.06
1.36, 299.79, 170.2
1.36, 299.79, 170.33
1.36, 299.79, 170.47
1.36, 299.79, 170.61
1.45, 299.7, 170.75
1.45, 299.7, 170.9
1.36, 299.79, 171.04
1.36, 299.79, 171.18
1.36, 299.79, 171.32
1.36, 299.79, 171.46
1.36, 299.79, 171.6
1.36, 299.79, 171.73
1.36, 299.79, 171.87
1.36, 299.79, 172.01
1.36, 299.79, 172.15
1.36, 299.79, 172.29
1.36, 299.79, 172.43
1.36, 299.79, 172.57
1.45, 299.7, 172.71
1.45, 299.7, 172.86
1.36, 299.79, 173.0
1.27, 299.88, 173.13
1.36, 299.79, 173.26
1.27, 299.88, 173.4
1.36, 299.79, 173.53
1.27, 299.88, 173.67
1.36, 299.79, 173.8
1.36, 299.79, 173.94
1.27, 299.88, 174.07
1.36, 299.79, 174.21
1.27, 299.88, 174.34
1.27, 299.88, 174.47
1.27, 299.88, 174.6
1.27, 299.88, 174.73
1.27, 299.88, 174.86
1.27, 299.88, 174.99
1.36, 299.79, 175.12
1.27, 299.88, 175.25
1.36, 299.79, 175.39
1.27, 299.88, 175.52
1.27, 299.88, 175.65
1.27, 299.88, 175.78
1.27, 299.88, 175.91
1.27, 299.88, 176.04
1.27, 299.88, 176.17
1.27, 299.88, 176.3
1.18, 299.97, 176.42
1.27, 299.88, 176.55
1.27, 299.88, 176.68
1.27, 299.88, 176.8
1.18, 299.97, 176.93
1.27, 299.88, 177.06
1.18, 299.97, 177.18
1.18, 299.97, 177.3
1.18, 299.97, 177.42
1.18, 299.97, 177.54
1.18, 299.97, 177.66
1.18, 299.97, 177.78
1.18, 299.97, 177.9
1.18, 299.97, 178.02
1.18, 299.97, 178.14
1.18, 299.97, 178.26
1.18, 299.97, 178.38
1.18, 299.97, 178.5
1.18, 299.97, 178.62
1.18, 299.97, 178.74
1.18, 299.97, 178.86
1.18, 299.97, 178.98
1.18, 299.97, 179.1
1.18, 299.97, 179.22
1.18, 299.97, 179.34
1.18, 299.97, 179.46
1.18, 299.97, 179.58
1.18, 299.97, 179.7
1.18, 299.97, 179.82
1.18, 299.97, 179.94
1.18, 299.97, 180.06
1.18, 299.97, 180.19
1.18, 299.97, 180.3
1.18, 299.97, 180.42
1.18, 299.97, 180.55
1.18, 299.97, 180.67
1.09, 300.06, 180.78
1.18, 299.97, 180.9
1.18, 299.97, 181.02
1.09, 300.06, 181.13
1.18, 299.97, 181.25
1.18, 299.97, 181.37
1.18, 299.97, 181.49
1.18, 299.97, 181.61
1.09, 300.06, 181.73
1.18, 299.97, 181.84
1.09, 300.06, 181.96
1.09, 300.06, 182.07
1.09, 300.06, 182.18
1.18, 299.97, 182.29
1.09, 300.06, 182.41
1.09, 300.06, 182.52
1.18, 299.97, 182.64
1.09, 300.06, 182.75
1.09, 300.06, 182.86
1.09, 300.06, 182.97
1.09, 300.06, 183.09
1.09, 300.06, 183.2
1.09, 300.06, 183.31
1.09, 300.06, 183.42
1.09, 300.06, 183.53
1.09, 300.06, 183.64
1.09, 300.06, 183.75
1.09, 300.06, 183.86
1.09, 300.06, 183.98
1.09, 300.06, 184.09
1.09, 300.06, 184.2
1.09, 300.06, 184.31
1.09, 300.06, 184.42
1.09, 300.06, 184.53
1.09, 300.06, 184.64
1.09, 300.06, 184.75
1.09, 300.06, 184.86
1.09, 300.06, 184.98
1.09, 300.06, 185.09
1.09, 300.06, 185.2
1.09, 300.06, 185.31
1.09, 300.06, 185.42
1.09, 300.06, 185.53
1.01, 300.14, 185.64
1.09, 300.06, 185.74
1.01, 300.14, 185.85
1.01, 300.14, 185.95
1.01, 300.14, 186.06
1.01, 300.14, 186.16
1.01, 300.14, 186.26
1.01, 300.14, 186.36
1.01, 300.14, 186.46
1.01, 300.14, 186.57
1.01, 300.14, 186.67
1.01, 300.14, 186.77
1.01, 300.14, 186.87
1.01, 300.14, 186.97
1.01, 300.14, 187.07
1.01, 300.14, 187.18
1.01, 300.14, 187.28
1.01, 300.14, 187.38
1.01, 300.14, 187.48
1.01, 300.14, 187.59
1.01, 300.14, 187.69
0.92, 300.23, 187.78
0.92, 300.23, 187.88
0.92, 300.23, 187.97
1.01, 300.14, 188.07
1.01, 300.14, 188.17
