erro, temperatura atual, integral
2.69, 298.46, 85.59
2.69, 298.46, 85.87
2.69, 298.46, 86.14
2.69, 298.46, 86.41
2.69, 298.46, 86.68
2.69, 298.46, 86.96
2.69, 298.46, 87.23
2.69, 298.46, 87.5
2.69, 298.46, 87.77
2.69, 298.46, 88.05
2.78, 298.37, 88.33
2.69, 298.46, 88.6
2.69, 298.46, 88.88
2.69, 298.46, 89.15
2.69, 298.46, 89.42
2.69, 298.46, 89.69
2.69, 298.46, 89.97
2.69, 298.46, 90.24
2.69, 298.46, 90.52
2.69, 298.46, 90.79
2.69, 298.46, 91.06
2.69, 298.46, 91.34
2.69, 298.46, 91.61
2.69, 298.46, 91.88
2.69, 298.46, 92.15
2.69, 298.46, 92.43
2.69, 298.46, 92.7
2.69, 298.46, 92.98
2.69, 298.46, 93.25
2.69, 298.46, 93.52
2.78, 298.37, 93.8
2.69, 298.46, 94.07
2.69, 298.46, 94.35
2.69, 298.46, 94.62
2.69, 298.46, 94.89
2.69, 298.46, 95.17
2.69, 298.46, 95.44
2.69, 298.46, 95.71
2.69, 298.46, 95.99
2.69, 298.46, 96.26
2.69, 298.46, 96.53
2.69, 298.46, 96.8
2.69, 298.46, 97.08
2.69, 298.46, 97.35
2.69, 298.46, 97.62
2.69, 298.46, 97.89
2.69, 298.46, 98.17
2.69, 298.46, 98.44
2.69, 298.46, 98.72
2.69, 298.46, 98.99
2.69, 298.46, 99.26
2.69, 298.46, 99.54
2.69, 298.46, 99.81
2.69, 298.46, 100.08
2.6, 298.55, 100.36
2.69, 298.46, 100.62
2.69, 298.46, 100.9
2.69, 298.46, 101.17
2.69, 298.46, 101.44
2.69, 298.46, 101.72
2.69, 298.46, 101.99
2.69, 298.46, 102.26
2.69, 298.46, 102.54
2.69, 298.46, 102.81
2.69, 298.46, 103.08
2.69, 298.46, 103.35
2.6, 298.55, 103.62
2.6, 298.55, 103.89
2.6, 298.55, 104.15
2.6, 298.55, 104.42
2.6, 298.55, 104.68
2.69, 298.46, 104.95
